title,company,seniority_level,max_salary,company_size,work_type,company_rating,applies
HR Manager,Oracle,Senior,97458,51-200,Remote,3.5,75
Data Scientist,Airbnb,Senior,154478,1001-5000,Hybrid,3.1,7424
Data Scientist,Oracle,Director,272081,1-50,Remote,2.9,65
Data Scientist,Mid-size Corp,Mid,127931,1-50,On-site,3.3,18
Product Manager,Startup A,Senior,190853,1001-5000,Remote,3.2,2158
Business Analyst,Apple,Lead,122865,5001+,Hybrid,2.6,16
Machine Learning Engineer,Oracle,Entry,91675,201-1000,Hybrid,3.4,44
Data Scientist,Microsoft,Senior,178314,201-1000,Remote,4.1,2956
Financial Analyst,Enterprise Corp,Senior,135783,201-1000,Remote,3.0,6
Marketing Manager,Meta,Entry,53965,1001-5000,On-site,3.9,74
Software Engineer,Enterprise Corp,Mid,112109,1001-5000,Remote,3.4,12
Software Engineer,IBM,Mid,102290,5001+,Remote,3.8,36
Frontend Developer,Oracle,Lead,151580,51-200,Remote,4.6,86
Operations Manager,Apple,VP,273725,201-1000,Hybrid,3.3,1
Sales Representative,Intel,Lead,117670,51-200,Hybrid,3.0,30
UX Designer,Amazon,Entry,67563,1-50,Hybrid,4.4,11
Sales Representative,IBM,Mid,80282,201-1000,Hybrid,4.8,38
Software Engineer,Google,Entry,87196,201-1000,Remote,3.1,1
Software Engineer,Amazon,Mid,116128,5001+,Hybrid,3.6,23
Marketing Manager,Airbnb,Lead,162279,201-1000,On-site,4.3,42
Marketing Manager,Airbnb,Mid,85756,201-1000,Remote,3.7,16
Software Engineer,Startup A,Director,230432,201-1000,Remote,3.1,1441
Frontend Developer,Uber,Senior,148355,1001-5000,Hybrid,3.9,36
Machine Learning Engineer,Google,Director,253193,201-1000,On-site,3.1,445
Financial Analyst,Salesforce,Senior,128186,201-1000,Remote,4.7,1
Product Manager,Meta,Director,240929,201-1000,Remote,4.3,1
Frontend Developer,Apple,Senior,167999,1001-5000,On-site,4.4,25
UX Designer,Microsoft,VP,329945,201-1000,Remote,3.7,5
Marketing Manager,Mid-size Corp,VP,251841,5001+,Remote,3.7,13
Machine Learning Engineer,Google,Senior,184907,1001-5000,Hybrid,4.0,40
Operations Manager,Meta,Entry,50541,5001+,Remote,2.2,41
Product Manager,Apple,Lead,221314,201-1000,On-site,4.8,35
Backend Developer,Apple,Director,202967,201-1000,Remote,2.9,10
Data Scientist,Startup A,Director,213470,1-50,On-site,2.7,151
Machine Learning Engineer,Microsoft,Mid,126831,201-1000,On-site,5.0,2
Product Manager,Uber,Senior,182464,1-50,Remote,4.9,11
Frontend Developer,Intel,Senior,139250,201-1000,On-site,3.9,1
Operations Manager,Startup A,Director,196390,5001+,Hybrid,3.0,598
Product Manager,Startup B,VP,356179,201-1000,Remote,4.0,20
Sales Representative,Meta,Lead,106758,51-200,Remote,4.2,1
Financial Analyst,Oracle,Mid,74215,1001-5000,Hybrid,3.4,264
Backend Developer,Uber,Mid,128671,51-200,Hybrid,3.8,51
Frontend Developer,Apple,Mid,93596,1001-5000,On-site,3.3,43
HR Manager,Google,VP,215037,1001-5000,Remote,3.6,17
DevOps Engineer,Airbnb,Mid,113408,1-50,On-site,4.9,6
Machine Learning Engineer,Amazon,Entry,96298,51-200,On-site,4.1,62
Software Engineer,Apple,Mid,130211,1001-5000,Hybrid,4.7,1
Business Analyst,Mid-size Corp,Lead,156853,201-1000,On-site,4.0,46
Backend Developer,Meta,Senior,155723,51-200,Remote,3.3,30
DevOps Engineer,Startup A,Senior,160797,5001+,On-site,4.2,26
Sales Representative,IBM,Entry,42443,51-200,Remote,4.0,71
Data Scientist,Microsoft,Mid,115439,201-1000,On-site,4.2,49
Business Analyst,Oracle,Entry,58859,5001+,On-site,3.7,16
Operations Manager,Startup A,Lead,142485,201-1000,Hybrid,3.7,7
Frontend Developer,Meta,Director,202334,201-1000,Remote,4.6,161
Software Engineer,Netflix,Mid,108119,201-1000,Hybrid,4.7,8
Frontend Developer,Startup B,Entry,73599,51-200,On-site,5.0,24
HR Manager,Oracle,Lead,118438,5001+,Hybrid,3.5,17
Marketing Manager,Microsoft,Senior,121928,201-1000,Hybrid,3.4,115
Marketing Manager,Google,Entry,70569,201-1000,Hybrid,3.7,8
Frontend Developer,IBM,Mid,101961,1001-5000,Hybrid,2.9,2
Product Manager,Microsoft,Entry,92863,1001-5000,On-site,2.8,9
Frontend Developer,Google,Mid,111669,1001-5000,Remote,3.8,4
DevOps Engineer,Startup A,Entry,69585,51-200,Remote,4.4,1
Operations Manager,Uber,Mid,102964,1001-5000,On-site,3.7,90
HR Manager,Mid-size Corp,Senior,123612,1-50,Hybrid,3.6,51
Financial Analyst,Startup A,Entry,53045,51-200,Hybrid,3.5,39
Machine Learning Engineer,Uber,Director,267811,51-200,Remote,3.1,243
UX Designer,Meta,Mid,97617,1-50,On-site,4.3,63
Data Scientist,Startup A,Mid,129113,51-200,Hybrid,3.7,9
Business Analyst,Mid-size Corp,Mid,76377,1001-5000,Remote,4.4,10
Frontend Developer,Startup B,VP,328713,5001+,Hybrid,4.6,9
Frontend Developer,Mid-size Corp,Mid,115552,51-200,Hybrid,3.9,1
Backend Developer,Microsoft,Senior,142732,201-1000,Remote,3.1,1
UX Designer,Google,Mid,107731,51-200,On-site,3.8,16
Frontend Developer,Uber,Senior,141449,51-200,Hybrid,4.4,22
Financial Analyst,Meta,Lead,120118,5001+,Remote,3.4,63
Marketing Manager,Microsoft,Mid,92201,201-1000,Remote,3.8,638
Backend Developer,Amazon,Senior,154153,1001-5000,Hybrid,4.9,340
Sales Representative,Uber,Mid,73076,51-200,On-site,3.9,28
UX Designer,Uber,Mid,115032,1001-5000,Hybrid,3.4,55
Marketing Manager,Microsoft,Entry,62338,1-50,On-site,2.5,80
Business Analyst,Meta,Director,185232,1001-5000,On-site,3.6,805
Frontend Developer,Microsoft,Mid,96060,1001-5000,Remote,3.1,33
Machine Learning Engineer,Salesforce,Mid,124323,201-1000,Remote,3.9,40
Operations Manager,Google,Senior,118242,51-200,On-site,3.0,11
Sales Representative,Microsoft,Lead,111030,201-1000,Remote,3.6,1
Software Engineer,Amazon,Mid,104835,1-50,Remote,4.2,1
UX Designer,Startup B,Entry,73942,1001-5000,Hybrid,4.3,38
Machine Learning Engineer,Intel,Lead,186359,1001-5000,Remote,3.4,103
Marketing Manager,Enterprise Corp,Mid,83300,1-50,On-site,4.9,176
Product Manager,Airbnb,Senior,186498,51-200,On-site,3.9,91
Backend Developer,Enterprise Corp,Mid,113211,201-1000,Remote,3.2,34
Financial Analyst,Enterprise Corp,Mid,74622,1001-5000,Remote,3.5,40
Software Engineer,Startup A,Senior,172938,1-50,Hybrid,3.7,48
Operations Manager,Apple,Senior,126088,1001-5000,Remote,3.0,14
Marketing Manager,Oracle,Director,208323,1001-5000,Remote,4.1,80
Operations Manager,Netflix,Entry,62753,1001-5000,Remote,3.9,80
Backend Developer,Uber,VP,298790,51-200,Hybrid,3.9,3
Operations Manager,Meta,Mid,94251,1001-5000,Hybrid,5.0,99
Financial Analyst,Amazon,Mid,74059,1-50,Remote,3.2,7
Software Engineer,Amazon,Entry,89487,201-1000,Remote,4.3,96
Machine Learning Engineer,Amazon,Lead,197208,51-200,Hybrid,3.6,191
Operations Manager,Oracle,Senior,132954,1-50,Hybrid,3.4,25
Marketing Manager,Uber,Mid,105643,201-1000,Hybrid,3.9,2232
Sales Representative,Salesforce,Senior,118186,201-1000,On-site,4.0,18
Machine Learning Engineer,Meta,Senior,206691,51-200,On-site,3.0,82
Marketing Manager,Startup B,Lead,150108,1001-5000,Remote,4.0,13
Operations Manager,Google,Senior,113300,201-1000,On-site,4.0,199
Sales Representative,Oracle,Director,155938,201-1000,Remote,3.9,1
Sales Representative,Salesforce,Entry,46961,1001-5000,Remote,3.4,5
Machine Learning Engineer,Google,Director,299671,201-1000,Hybrid,3.5,14
Product Manager,Microsoft,Entry,72302,1-50,Remote,3.6,1720
Business Analyst,Mid-size Corp,Senior,139751,5001+,Remote,2.4,2
Backend Developer,Microsoft,Mid,127958,5001+,Hybrid,4.3,17
Sales Representative,IBM,Mid,67722,1001-5000,Hybrid,3.2,186
Data Scientist,Netflix,Senior,190497,51-200,Remote,4.7,37
Backend Developer,Amazon,VP,342048,1001-5000,Remote,4.6,147
Backend Developer,Startup B,Senior,141057,5001+,Hybrid,2.8,65
Product Manager,Startup B,Mid,132175,1001-5000,Remote,4.2,9
UX Designer,Intel,Mid,114001,51-200,Hybrid,4.5,312
Machine Learning Engineer,Startup B,Entry,100310,1-50,Remote,3.4,31
HR Manager,Microsoft,Lead,117690,5001+,On-site,4.6,241
Operations Manager,Microsoft,Entry,53827,1-50,On-site,4.2,30
Software Engineer,Airbnb,Mid,125157,5001+,On-site,4.2,6
Financial Analyst,Oracle,Mid,85945,1-50,On-site,4.9,85
HR Manager,Microsoft,Mid,78301,5001+,Hybrid,2.7,5
Marketing Manager,Intel,Senior,127063,201-1000,Hybrid,4.8,357
DevOps Engineer,Meta,Entry,69847,5001+,Remote,2.5,53
HR Manager,Startup B,Mid,68332,1001-5000,Hybrid,3.3,273
Data Scientist,Startup B,Entry,88502,1001-5000,Hybrid,3.2,29
Software Engineer,Google,Entry,67054,201-1000,Hybrid,4.2,12
Operations Manager,Startup A,Mid,84238,5001+,Remote,3.7,889
Sales Representative,IBM,Entry,41735,1001-5000,On-site,5.0,27
Sales Representative,Google,Mid,76267,201-1000,Hybrid,3.3,48
HR Manager,Meta,Mid,69965,1-50,On-site,2.9,10
Operations Manager,Amazon,Senior,143256,1-50,Remote,4.0,16
UX Designer,Netflix,Senior,160234,5001+,Hybrid,3.8,2
Financial Analyst,Enterprise Corp,Mid,80971,1001-5000,Hybrid,2.6,3
Frontend Developer,Microsoft,Mid,118613,51-200,On-site,3.2,147
HR Manager,Enterprise Corp,Senior,124795,201-1000,Remote,3.5,94
Backend Developer,Apple,VP,274734,201-1000,Remote,3.6,37
Machine Learning Engineer,Mid-size Corp,Mid,149542,1001-5000,On-site,3.2,62
Operations Manager,Amazon,Senior,131976,201-1000,On-site,3.5,47
Business Analyst,Meta,Mid,89467,201-1000,On-site,4.4,99
HR Manager,Amazon,Lead,144466,1001-5000,Remote,2.4,119
Data Scientist,Amazon,Senior,186307,51-200,Hybrid,3.5,4
Machine Learning Engineer,IBM,Senior,216166,1001-5000,Hybrid,2.7,69
Operations Manager,Oracle,Mid,94122,1001-5000,Hybrid,4.0,51
Operations Manager,Meta,Entry,61388,1001-5000,Remote,3.4,117
Marketing Manager,Intel,Entry,57764,1001-5000,On-site,3.3,35
Marketing Manager,Meta,VP,275236,201-1000,Hybrid,5.0,1
Software Engineer,Oracle,Entry,82797,51-200,On-site,4.2,20
Financial Analyst,Airbnb,Mid,80113,1-50,On-site,4.0,28
Sales Representative,Salesforce,Mid,68118,1001-5000,On-site,3.4,402
Frontend Developer,Netflix,Mid,111105,201-1000,On-site,4.6,90
UX Designer,Netflix,Entry,67860,1001-5000,Remote,5.0,33
Financial Analyst,Amazon,Lead,151233,1-50,Remote,3.8,81
Operations Manager,Intel,Senior,139551,201-1000,On-site,3.6,196
Marketing Manager,Startup A,Mid,92987,1001-5000,Remote,3.0,13
Backend Developer,Microsoft,Entry,84421,1001-5000,Hybrid,4.2,264
Sales Representative,Airbnb,Senior,95530,1001-5000,Hybrid,3.7,36
DevOps Engineer,Oracle,Mid,124710,201-1000,Remote,3.2,27
DevOps Engineer,Enterprise Corp,Mid,127197,201-1000,On-site,3.1,1
Backend Developer,Uber,Senior,141097,51-200,On-site,3.2,2
HR Manager,Startup B,Senior,104334,201-1000,Remote,4.7,244
Product Manager,Uber,VP,338618,1001-5000,Hybrid,4.6,77
DevOps Engineer,Intel,VP,309069,1001-5000,Hybrid,2.2,1
Machine Learning Engineer,Microsoft,Mid,143840,1001-5000,Hybrid,4.4,14
Software Engineer,Salesforce,Senior,143924,201-1000,On-site,4.0,61
Business Analyst,IBM,Senior,138795,1001-5000,On-site,3.7,36
Financial Analyst,Intel,Senior,119102,1001-5000,Remote,2.4,1
Software Engineer,Startup B,Entry,77868,1001-5000,Hybrid,4.2,13
Financial Analyst,Microsoft,Senior,116659,51-200,On-site,3.1,55
Sales Representative,Amazon,Mid,71419,201-1000,On-site,3.8,476
Sales Representative,Meta,Mid,75091,1001-5000,On-site,3.5,14
UX Designer,Microsoft,Entry,62110,1001-5000,Hybrid,4.5,12
Frontend Developer,Apple,Entry,67425,1001-5000,On-site,3.9,153
HR Manager,Oracle,Mid,72887,201-1000,On-site,2.3,87
Operations Manager,Uber,Entry,52290,1001-5000,Hybrid,3.2,458
Business Analyst,Salesforce,Senior,118896,201-1000,Remote,3.2,89
Business Analyst,IBM,Mid,96927,51-200,Remote,2.8,119
Financial Analyst,Google,Senior,111075,51-200,Remote,4.4,85
Data Scientist,Startup A,Entry,73215,201-1000,Remote,4.0,157
DevOps Engineer,Oracle,Mid,113437,1-50,Hybrid,3.8,125
Frontend Developer,Apple,Director,204386,201-1000,Remote,3.4,297
Data Scientist,Airbnb,Entry,69165,201-1000,Remote,4.4,37
Operations Manager,Salesforce,Mid,94354,51-200,Hybrid,2.4,43
HR Manager,Mid-size Corp,Mid,89665,201-1000,Remote,4.0,304
Financial Analyst,Airbnb,Mid,72250,201-1000,On-site,3.0,4
Backend Developer,Airbnb,Entry,83783,51-200,Hybrid,4.1,550
Backend Developer,Mid-size Corp,Lead,174561,1001-5000,Hybrid,4.0,129
Backend Developer,Salesforce,Entry,67384,1001-5000,Hybrid,4.2,33
Operations Manager,Mid-size Corp,Senior,121729,1-50,Remote,3.3,12
Data Scientist,Startup B,Entry,75654,51-200,On-site,5.0,115
Financial Analyst,Airbnb,Senior,136507,201-1000,Hybrid,3.4,30
Business Analyst,Airbnb,Mid,81898,1001-5000,Hybrid,4.0,13
Business Analyst,Amazon,Director,191427,1001-5000,Remote,3.4,14
Machine Learning Engineer,Uber,Lead,192048,201-1000,Hybrid,4.7,6
Frontend Developer,Apple,Senior,173915,51-200,Hybrid,4.2,157
Business Analyst,Uber,Entry,55221,1001-5000,Remote,3.7,27
Business Analyst,Uber,Lead,134187,201-1000,Remote,3.2,91
Sales Representative,IBM,Entry,53140,201-1000,Remote,3.3,48
Sales Representative,Meta,Lead,121851,51-200,Remote,3.9,42
Business Analyst,Uber,Entry,62373,1-50,Hybrid,3.2,16
Financial Analyst,Microsoft,Senior,130100,201-1000,On-site,4.9,1
Data Scientist,Salesforce,VP,326510,51-200,Hybrid,4.2,5
Product Manager,IBM,Mid,126714,5001+,On-site,2.7,5
Frontend Developer,Microsoft,Mid,96867,5001+,Remote,3.5,150
Machine Learning Engineer,Meta,Mid,136149,1001-5000,Remote,3.1,88
Business Analyst,Salesforce,Lead,132603,5001+,Hybrid,5.0,14
Frontend Developer,Intel,Entry,65994,1001-5000,On-site,3.4,22
Financial Analyst,Mid-size Corp,Mid,81225,201-1000,Hybrid,3.9,1
Software Engineer,Microsoft,Lead,171616,201-1000,Remote,4.9,105
Machine Learning Engineer,Intel,Senior,179262,201-1000,Hybrid,3.8,6
Financial Analyst,Startup A,Senior,136297,51-200,Hybrid,4.2,172
HR Manager,Enterprise Corp,Director,170238,5001+,Remote,4.0,8
Business Analyst,Google,Lead,134734,5001+,Hybrid,3.8,191
UX Designer,Meta,Director,217529,201-1000,Hybrid,3.2,1094
UX Designer,Apple,Senior,129377,201-1000,Hybrid,2.3,23
Marketing Manager,Netflix,Mid,97959,1001-5000,On-site,2.9,8
Software Engineer,Enterprise Corp,Senior,179043,5001+,Hybrid,3.2,2
Backend Developer,Netflix,Mid,112748,201-1000,Remote,3.7,392
DevOps Engineer,IBM,Senior,174876,5001+,Remote,4.0,4
Frontend Developer,Netflix,Senior,139951,5001+,On-site,4.0,33
Marketing Manager,Enterprise Corp,Mid,94461,5001+,Remote,4.6,6
Financial Analyst,Airbnb,Lead,148583,51-200,On-site,4.4,56
Sales Representative,Uber,Mid,65610,1001-5000,Remote,3.6,128
Sales Representative,Apple,Lead,112061,1-50,Hybrid,3.9,2
Business Analyst,Apple,Senior,131093,1001-5000,On-site,2.2,35
HR Manager,Oracle,Senior,97579,5001+,On-site,2.9,43
HR Manager,IBM,Senior,107654,201-1000,On-site,2.5,26
Marketing Manager,Amazon,Mid,96209,1001-5000,Remote,3.0,49
Data Scientist,Google,Senior,166095,1001-5000,Remote,3.2,8
HR Manager,Netflix,VP,231109,1-50,Hybrid,4.7,34
Product Manager,Airbnb,Entry,83688,51-200,Hybrid,4.4,5
Product Manager,Salesforce,Mid,129773,1-50,On-site,3.8,87
Backend Developer,Startup B,Entry,79877,1001-5000,Remote,3.1,11
Product Manager,Oracle,VP,346239,201-1000,Remote,3.9,3
Operations Manager,Apple,VP,241707,5001+,Remote,3.2,1288
Data Scientist,Apple,Senior,148973,51-200,Hybrid,5.0,52
Product Manager,Google,Lead,184626,51-200,Hybrid,4.6,71
Operations Manager,Uber,Senior,125351,51-200,Hybrid,4.4,54
UX Designer,Apple,Lead,158735,5001+,Remote,4.5,90
Frontend Developer,Startup B,Mid,121404,1-50,Hybrid,4.8,91
Data Scientist,Google,Senior,152803,1001-5000,On-site,2.4,199
Business Analyst,IBM,Senior,123859,51-200,On-site,3.8,135
Backend Developer,Startup B,VP,331837,1001-5000,Hybrid,2.9,103
Business Analyst,Enterprise Corp,Mid,86479,5001+,Remote,4.1,194
HR Manager,Airbnb,Entry,44245,1-50,On-site,2.9,122
Data Scientist,Oracle,Mid,137444,1-50,On-site,4.3,17
Frontend Developer,Netflix,Mid,102003,201-1000,Hybrid,3.0,31
Financial Analyst,Uber,Mid,74054,1001-5000,Remote,4.6,5
Data Scientist,Microsoft,VP,329787,201-1000,On-site,4.6,21
Operations Manager,Startup A,Senior,143855,1-50,Hybrid,4.0,11
Data Scientist,Netflix,Lead,189049,201-1000,On-site,3.5,178
Frontend Developer,Startup A,VP,313012,51-200,Remote,4.4,25
HR Manager,Mid-size Corp,Mid,70261,1-50,On-site,4.4,3
Backend Developer,Startup B,Senior,166358,1001-5000,Hybrid,4.2,1985
Software Engineer,Amazon,Senior,149421,51-200,On-site,3.3,81
Marketing Manager,Mid-size Corp,Director,164041,1001-5000,Hybrid,3.7,172
Business Analyst,Mid-size Corp,Director,198696,1001-5000,Hybrid,3.1,165
Machine Learning Engineer,Uber,VP,369200,5001+,Remote,3.5,39
Operations Manager,Oracle,Senior,130403,1001-5000,Hybrid,3.5,44
Sales Representative,Apple,Lead,127676,201-1000,Hybrid,4.7,73
HR Manager,Enterprise Corp,Mid,84116,201-1000,Remote,3.5,69
Financial Analyst,Intel,Director,159868,5001+,On-site,3.6,2
Machine Learning Engineer,Airbnb,Mid,150552,1001-5000,Hybrid,2.7,27
Sales Representative,IBM,Senior,93396,5001+,Hybrid,4.4,23
Operations Manager,Startup B,VP,226377,5001+,Remote,3.8,29
Operations Manager,Mid-size Corp,Entry,61895,201-1000,On-site,3.8,3701
HR Manager,Mid-size Corp,Senior,120370,201-1000,Hybrid,3.7,27
Machine Learning Engineer,Oracle,Mid,118494,201-1000,Hybrid,3.5,35
HR Manager,Google,Lead,145018,201-1000,Hybrid,4.1,64
Operations Manager,Salesforce,Mid,85565,5001+,On-site,4.6,9
Machine Learning Engineer,Enterprise Corp,Mid,150286,201-1000,Remote,3.6,414
Software Engineer,Google,Entry,67412,201-1000,Hybrid,5.0,6
Backend Developer,Intel,Lead,169682,5001+,Hybrid,4.7,25
Frontend Developer,Google,Director,224726,1001-5000,Hybrid,3.6,599
Data Scientist,IBM,Lead,180291,51-200,Hybrid,3.6,4
Financial Analyst,Amazon,Lead,136624,1001-5000,Remote,2.9,23
HR Manager,Oracle,Mid,71257,1-50,On-site,2.6,12
UX Designer,IBM,Senior,167544,1-50,Remote,3.8,64
Operations Manager,Google,Entry,52246,1001-5000,Hybrid,3.3,6
Data Scientist,Mid-size Corp,Mid,137032,201-1000,Hybrid,3.2,22
Operations Manager,Airbnb,Director,178245,201-1000,Remote,2.6,188
Financial Analyst,Meta,Senior,118457,51-200,On-site,3.7,8
Software Engineer,Meta,Lead,185614,201-1000,Remote,3.4,19
Machine Learning Engineer,IBM,Entry,90139,201-1000,Remote,4.6,25
Machine Learning Engineer,Intel,Entry,82973,1-50,Remote,4.1,159
Backend Developer,Amazon,Mid,102092,201-1000,On-site,4.6,13
Operations Manager,Uber,Entry,61913,201-1000,Remote,3.7,64
UX Designer,Oracle,Mid,119203,201-1000,Hybrid,4.0,11
Backend Developer,Startup A,Mid,128302,201-1000,On-site,4.4,3
Machine Learning Engineer,Google,Entry,100501,1001-5000,Remote,4.2,13
Business Analyst,Netflix,Director,164530,201-1000,Remote,5.0,116
Software Engineer,Enterprise Corp,Senior,179527,51-200,On-site,4.6,218
Software Engineer,Uber,VP,334976,201-1000,Remote,4.7,114
Software Engineer,Uber,Senior,156359,1001-5000,Remote,4.0,79
UX Designer,Oracle,Mid,113749,1-50,Remote,4.0,238
Frontend Developer,Startup B,Mid,99452,1001-5000,On-site,3.5,37
Marketing Manager,Salesforce,Director,178845,201-1000,Hybrid,3.8,26
Sales Representative,Apple,Lead,105058,1001-5000,Remote,2.5,221
Frontend Developer,Salesforce,Entry,66244,1001-5000,Remote,3.4,10
Software Engineer,Enterprise Corp,Senior,153535,1001-5000,Hybrid,3.2,2353
Frontend Developer,Salesforce,Mid,119302,51-200,On-site,3.9,81
Software Engineer,Enterprise Corp,Mid,106253,1001-5000,Hybrid,4.7,88
Marketing Manager,Uber,Senior,113420,51-200,Remote,4.5,102
Business Analyst,Startup A,Mid,83401,1-50,Hybrid,4.1,29
Data Scientist,Startup B,Senior,193215,1-50,On-site,2.7,137
Marketing Manager,Uber,Mid,88560,201-1000,Hybrid,4.2,310
Data Scientist,Microsoft,Entry,72210,51-200,Hybrid,3.5,321
Sales Representative,Startup B,Mid,72039,201-1000,Remote,3.5,49
Backend Developer,Airbnb,Director,216061,201-1000,Hybrid,3.6,850
Software Engineer,Intel,Director,235071,5001+,On-site,3.4,115
Operations Manager,Airbnb,Senior,110887,51-200,Remote,4.8,177
Backend Developer,Uber,Entry,68804,5001+,Hybrid,5.0,265
HR Manager,Oracle,Senior,104491,5001+,Remote,3.5,6
HR Manager,Startup A,Lead,146625,201-1000,Hybrid,4.7,36
Business Analyst,Meta,Entry,50034,201-1000,On-site,3.5,2
Product Manager,Microsoft,Mid,119885,1-50,Remote,2.9,80
Data Scientist,Airbnb,Senior,151705,5001+,On-site,2.1,57
UX Designer,Enterprise Corp,Senior,156516,51-200,Hybrid,3.9,10
Data Scientist,Microsoft,Entry,84885,201-1000,Hybrid,5.0,14
Software Engineer,Google,Entry,82859,201-1000,On-site,4.7,993
Financial Analyst,Microsoft,Entry,47634,201-1000,On-site,3.2,109
Software Engineer,Airbnb,Lead,191663,201-1000,Hybrid,4.3,16
UX Designer,Startup A,Lead,176689,1-50,Hybrid,3.9,23
Data Scientist,IBM,Mid,142924,201-1000,Hybrid,3.6,1519
Software Engineer,Oracle,Mid,108551,1001-5000,Hybrid,3.6,41
Product Manager,Uber,Mid,118326,1001-5000,Hybrid,3.6,28
Machine Learning Engineer,IBM,Lead,243176,5001+,Remote,3.0,72
HR Manager,Oracle,Lead,108942,201-1000,On-site,5.0,1
UX Designer,Enterprise Corp,Senior,135967,5001+,Hybrid,4.0,6
Software Engineer,Startup A,Senior,184314,51-200,Hybrid,4.0,8879
Backend Developer,Meta,Director,222803,201-1000,Hybrid,3.0,13
Operations Manager,Enterprise Corp,Director,193336,201-1000,Hybrid,3.4,1
HR Manager,Netflix,Lead,115495,201-1000,Remote,3.8,72
Backend Developer,Salesforce,Lead,181509,201-1000,Remote,3.1,60
DevOps Engineer,Airbnb,Mid,109412,1001-5000,Hybrid,5.0,18
Frontend Developer,Airbnb,Senior,171052,201-1000,Remote,4.4,7
Software Engineer,Uber,Senior,168720,201-1000,Hybrid,4.1,48
DevOps Engineer,Meta,Entry,72210,51-200,Remote,3.8,79
HR Manager,Microsoft,Senior,107697,1-50,Remote,4.8,45
Backend Developer,Meta,Entry,78924,5001+,Hybrid,4.3,23
Backend Developer,Apple,Senior,171139,51-200,Hybrid,4.2,27
Sales Representative,Google,Lead,108412,51-200,On-site,4.7,5
DevOps Engineer,IBM,Senior,151438,1001-5000,On-site,3.0,107
HR Manager,Apple,Entry,54135,1001-5000,Remote,3.1,84
HR Manager,Airbnb,Entry,48415,1-50,On-site,5.0,19
Data Scientist,Airbnb,Entry,90530,201-1000,Hybrid,3.8,68
DevOps Engineer,Amazon,Senior,174630,1001-5000,Hybrid,4.5,43
Business Analyst,Apple,Entry,58077,5001+,Remote,4.2,145
HR Manager,Startup B,Mid,90310,51-200,Remote,2.9,22
Backend Developer,Startup A,Mid,117705,1001-5000,Hybrid,4.9,40
Data Scientist,Oracle,Entry,75978,51-200,On-site,4.8,23
DevOps Engineer,Airbnb,Mid,112138,1001-5000,Remote,3.6,34
Marketing Manager,Uber,Entry,57134,201-1000,Remote,4.7,9
UX Designer,IBM,Entry,64762,51-200,Remote,3.2,36
Product Manager,Intel,Director,263380,1-50,Remote,4.5,5
Machine Learning Engineer,Startup A,Mid,148876,1001-5000,Remote,4.7,68
DevOps Engineer,Mid-size Corp,Director,255478,5001+,Remote,4.8,84
DevOps Engineer,IBM,Mid,111672,5001+,On-site,3.2,15
UX Designer,Startup A,Senior,137341,1001-5000,Hybrid,2.5,217
HR Manager,Netflix,Mid,72328,201-1000,Hybrid,4.1,232
UX Designer,Intel,Mid,90601,1-50,Hybrid,2.5,9
Software Engineer,Amazon,Senior,178701,201-1000,Hybrid,3.6,27
Frontend Developer,IBM,Senior,131056,1-50,Remote,4.2,1692
UX Designer,Uber,Mid,92181,5001+,Hybrid,3.4,2
UX Designer,Oracle,Lead,187253,201-1000,On-site,4.7,9
Marketing Manager,Intel,Senior,113842,1-50,Hybrid,4.1,64
Product Manager,Apple,Director,255123,1001-5000,Hybrid,2.4,142
Machine Learning Engineer,Apple,Lead,230871,201-1000,On-site,3.4,36
DevOps Engineer,Uber,Senior,186286,1-50,Hybrid,3.8,20
Business Analyst,Airbnb,Mid,88615,51-200,Hybrid,3.6,2
Product Manager,Amazon,Mid,118792,1001-5000,Remote,4.4,47
Product Manager,Oracle,VP,411326,51-200,Remote,3.5,37
HR Manager,Enterprise Corp,Mid,88601,201-1000,Hybrid,2.8,25
Backend Developer,Microsoft,Mid,120683,1-50,Remote,4.3,4
Frontend Developer,Salesforce,Lead,179885,201-1000,On-site,4.7,1
Operations Manager,Amazon,Senior,124226,5001+,On-site,1.9,2
Data Scientist,IBM,Senior,169757,1-50,Remote,3.0,215
DevOps Engineer,Intel,Mid,108422,1-50,Remote,4.1,73
Financial Analyst,Netflix,Mid,88561,201-1000,On-site,3.9,9
Sales Representative,Startup A,Entry,46744,51-200,Hybrid,2.2,10
Data Scientist,Intel,Mid,112966,1001-5000,On-site,5.0,244
DevOps Engineer,Meta,Senior,164679,201-1000,Hybrid,3.6,20
Data Scientist,Netflix,Lead,174773,51-200,Hybrid,4.6,227
Sales Representative,Amazon,Mid,73370,201-1000,Remote,3.6,3
DevOps Engineer,Airbnb,Mid,135603,1001-5000,Hybrid,3.2,68
Machine Learning Engineer,Meta,Lead,191019,51-200,Hybrid,3.1,9
DevOps Engineer,Amazon,Mid,116631,51-200,Remote,3.4,2
Operations Manager,Oracle,Mid,93083,1-50,Remote,4.1,140
Sales Representative,Enterprise Corp,Lead,127589,51-200,Remote,4.3,18
UX Designer,Oracle,Entry,67363,1001-5000,Hybrid,3.4,2
Frontend Developer,Enterprise Corp,Mid,97833,201-1000,Hybrid,4.6,58
Product Manager,Airbnb,Mid,115017,51-200,On-site,3.8,21
UX Designer,IBM,Entry,63664,201-1000,On-site,3.5,3
